person,date,category,amount,monthly_income,description,payment_mode
Priya Iyer,2023-01-01,Travel,81.0,18000.0,,Card
Divya Yeddu,2023-01-01,Study Materials,763.0,25000.0,,Card
Nisha Sharma,2023-01-01,Entertainment,2120.0,18000.0,,UPI
Shreya Sen,2023-01-01,Entertainment,2030.0,18000.0,,Cash
Aditya Pillai,2023-01-01,Rent,10069.0,20000.0,,Cash
Priya Iyer,2023-01-01,Rent,11741.0,18000.0,,Card
Tanvi Jain,2023-01-01,Food,252.0,30000.0,,UPI
Ananya Singh,2023-01-01,Entertainment,1110.0,30000.0,,NetBanking
Sneha Kapoor,2023-01-01,Entertainment,1390.0,18000.0,,UPI
Arjun Nair,2023-01-01,Food,295.0,22000.0,,Card
Aditya Pillai,2023-01-01,Entertainment,1950.0,20000.0,,Card
Priya Iyer,2023-01-02,Study Materials,1526.0,18000.0,,NetBanking
Harini Bhat,2023-01-02,Utilities,783.0,30000.0,,NetBanking
Harini Bhat,2023-01-02,Study Materials,1200.0,30000.0,,UPI
Harini Bhat,2023-01-02,Study Materials,567.0,30000.0,,UPI
Amit Sharma,2023-01-02,Groceries,2360.0,20000.0,,UPI
Karthik Rao,2023-01-02,Entertainment,2342.0,18000.0,,Cash
Tanvi Jain,2023-01-02,Groceries,2200.0,30000.0,,NetBanking
Harini Bhat,2023-01-02,Rent,11884.0,30000.0,,UPI
Priya Iyer,2023-01-02,Health,1275.0,18000.0,,NetBanking
Vikram Joshi,2023-01-02,Health,2334.0,25000.0,,Cash
Shreya Sen,2023-01-02,Food,196.0,18000.0,,Card
Aditya Pillai,2023-01-02,Health,1030.0,20000.0,,NetBanking
Vivek Menon,2023-01-02,Utilities,2020.0,18000.0,,Cash
Varun Gupta,2023-01-03,Rent,8755.0,20000.0,,UPI
Amit Sharma,2023-01-03,Groceries,996.0,20000.0,,Cash
Pooja Mehta,2023-01-03,Study Materials,1078.0,30000.0,,NetBanking
Arjun Nair,2023-01-03,Groceries,1589.0,22000.0,,Card
Amit Sharma,2023-01-03,Utilities,2135.0,20000.0,,Cash
Pooja Mehta,2023-01-03,Study Materials,818.0,30000.0,,Card
Nisha Sharma,2023-01-04,Groceries,2473.0,18000.0,,NetBanking
Tanvi Jain,2023-01-04,Food,190.0,30000.0,,UPI
Vikram Joshi,2023-01-04,Rent,9836.0,25000.0,,UPI
Swathi Reddy,2023-01-04,Food,212.0,25000.0,,UPI
Amit Sharma,2023-01-04,Miscellaneous,132.0,20000.0,,Card
Varun Gupta,2023-01-04,Rent,8754.0,20000.0,,UPI
Divya Yeddu,2023-01-05,Miscellaneous,119.0,25000.0,,UPI
Ishita Roy,2023-01-05,Health,1183.0,22000.0,,Cash
Pooja Mehta,2023-01-05,Food,431.0,30000.0,,Cash
Swathi Reddy,2023-01-05,Health,1713.0,25000.0,,Cash
Harsha Patel,2023-01-05,Food,304.0,30000.0,,NetBanking
Karthik Rao,2023-01-05,Study Materials,1033.0,18000.0,,NetBanking
